,name,institution,course_id
526,The Science of Success: What Researchers Know that You Should Know,University of Michigan,success
527,Finance for Non-Financial Managers,Emory University,finance-for-non-financial-managers
528,Getting Started With Music Theory,Michigan State University,music-theory
529,Digital Marketing Analytics in Practice,University of Illinois at Urbana-Champaign,digital-analytics
530,The Horse Course: Introduction to Basic Care and Management,University of Florida,horse-care
531,Verb Tenses and Passives,"University of California, Irvine",verb-passives
532,Gestión de organizaciones efectivas,Pontificia Universidad Católica de Chile,gestion-organizaciones-efectivas
533,Introduction to Big Data,University of California San Diego,big-data-introduction
534,Rédaction de contrats,University of Geneva,contrats
535,Philosophy and the Sciences: Introduction to the Philosophy of Cognitive Sciences,The University of Edinburgh,philosophy-cognitive-sciences
536,Schizophrenia,Wesleyan University,schizophrenia
537,Ecology: Ecosystem Dynamics and Conservation,Howard Hughes Medical Institute ,ecology-conservation
538,Introduction to Game Development,Michigan State University,game-development
539,Practical Time Series Analysis,The State University of New York,practical-time-series-analysis
540,VLSI CAD Part I: Logic,University of Illinois at Urbana-Champaign,vlsi-cad-logic
541,Getting Started with Google Kubernetes Engine,Google Cloud,google-kubernetes-engine
542,Exploring ​and ​Preparing ​your ​Data with BigQuery,Google Cloud,gcp-exploring-preparing-data-bigquery
543,Six Sigma and the Organization (Advanced),University System of Georgia,six-sigma-organization-advanced
544,Social Work Practice: Advocating Social Justice and Change,University of Michigan,social-work-practice-advocating-social-justice-and-change
545,Introduction to Machine Learning,Duke University,machine-learning-duke
546,Entrepreneurship 2: Launching your Start-Up,University of Pennsylvania,wharton-launching-startup
547,Nanotechnology: A Maker’s Course,Duke University,nanotechnology
548,Creative Problem Solving,University of Minnesota,creative-problem-solving
549,"Sleep: Neurobiology, Medicine, and Society",University of Michigan,sleep
550,COVID-19: What You Need to Know (CME Eligible),Osmosis,covid-19-what-you-need-to-know
551,Classical Sociological Theory,University of Amsterdam,classical-sociological-theory
552,Electric Industry Operations and Markets,Duke University,electricity
553,Preparing for the Google Cloud Professional Cloud Architect Exam,Google Cloud,preparing-cloud-professional-cloud-architect-exam
554,Effective Business Presentations with Powerpoint,PwC,powerpoint-presentations
555,More Introduction to Financial Accounting,University of Pennsylvania,wharton-financial-accounting
556,Cryptocurrency and Blockchain: An Introduction to Digital Currencies,University of Pennsylvania,wharton-cryptocurrency-blockchain-introduction-digital-currency
557,Dairy Production and Management,The Pennsylvania State University,dairy-production
558,Think Again I: How to Understand Arguments,Duke University,understanding-arguments
559,Developing Your Musicianship,Berklee College of Music,develop-your-musicianship
560,Introduction to Operations Management,University of Pennsylvania,wharton-operations
561,The Oral Cavity: Portal to Health and Disease,University of Pennsylvania,oralcavity
562,Preparing for the Google Cloud Associate Cloud Engineer Exam,Google Cloud,preparing-cloud-associate-cloud-engineer-exam
563,Fundamental Neuroscience for Neuroimaging,Johns Hopkins University,neuroscience-neuroimaging
564,European Business Law: Understanding the Fundamentals,Lund University,european-law-fundamentals
565,Teach English Now! Teaching Language Online,Arizona State University,teachlanguageonline
566,Front-End Web Development with React,The Hong Kong University of Science and Technology,front-end-react
567,Music Business Foundations,Berklee College of Music,music-business-foundations
568,Introduction to Business Analytics: Communicating with Data,University of Illinois at Urbana-Champaign,intro-business-analytics
569,Security & Safety Challenges in a Globalized World,Universiteit Leiden,security-safety-globalized-world
570,Machine Learning Foundations: A Case Study Approach,University of Washington,ml-foundations
571,Accounting Analytics,University of Pennsylvania,accounting-analytics
572,Strategic Business Management - Microeconomics,"University of California, Irvine",strategic-business-management-microeconomics
